ID,NAME,PRICE,COST,IMAGE,DESCRIPTION,PAGE
shell-ring,Shell Ring,120,29.6,shell-ring-3.png,"Inspired by sea shells found on the north Atlantic coast of the Untied States, the unique geometries of this ring replicate the natural beauty gifted by the ocean. Available in sterling silver and gold. Contact before purchasing.",shell-ring.html
ribbon-ring,Ribbon Ring,75,17.53,ribbon-ring-1.png,"Inspired by ripples of the north Atlantic ocean on the coast of the Untied States, the unique geometries of this ring replicate the natural beauty gifted by the ocean. Available in sterling silver and gold. Contact before purchasing.",ribbon-ring.html
turquoise-ring,Turquoise Ring,85,15,turquoise-ring-1.png,"Influenced by the landscape of the Southwestern United States and its beautiful geological formations, this turquoise ring is a symbolic tie to the unique stone formations which are only found when acidic waters make contact with copper metal.",turquoise-ring.html
